cvemun_char,municipio,mujeres,hombres,total
1,Acatic,2,20,22
2,Acatlán de Juárez,1,36,37
3,Ahualulco de Mercado,1,22,23
4,Amacueca,0,2,2
5,Amatitán,0,11,11
6,Ameca,4,70,74
7,San Juanito de Escobedo,0,11,11
8,Arandas,3,144,147
9,El Arenal,4,51,55
10,Atemajac de Brizuela,0,2,2
11,Atengo,0,6,6
12,Atenguillo,0,1,1
13,Atotonilco el Alto,10,137,147
14,Atoyac,2,3,5
15,Autlán de Navarro,7,89,96
16,Ayotlán,10,54,64
17,Ayutla,3,20,23
18,La Barca,15,144,159
19,Bolaños,0,0,0
20,Cabo Corrientes,2,16,18
21,Casimiro Castillo,3,48,51
22,Cihuatlán,9,84,93
23,Zapotlán el Grande,17,108,125
24,Cocula,2,34,36
25,Colotlán,7,40,47
26,Concepción de Buenos Aires,0,7,7
27,Cuautitlán de García Barragán,0,17,17
28,Cuautla,0,3,3
29,Cuquío,1,6,7
30,Chapala,17,93,110
31,Chimaltitán,0,8,8
32,Chiquilistlán,0,3,3
33,Degollado,4,16,20
34,Ejutla,0,2,2
35,Encarnación de Díaz,26,200,226
36,Etzatlán,4,24,28
37,El Grullo,5,30,35
38,Guachinango,0,3,3
39,Guadalajara,278,1895,2173
40,Hostotipaquillo,0,4,4
41,Huejúcar,0,21,21
42,Huejuquilla el Alto,5,23,28
43,La Huerta,5,63,68
44,Ixtlahuacán de los Membrillos,11,108,119
45,Ixtlahuacán del Río,1,22,23
46,Jalostotitlán,2,55,57
47,Jamay,0,17,17
48,Jesús María,1,18,19
49,Jilotlán de los Dolores,0,7,7
50,Jocotepec,8,79,87
51,Juanacatlán,2,28,30
52,Juchitlán,1,11,12
53,Lagos de Moreno,69,445,514
54,El Limón,2,3,5
55,Magdalena,1,31,32
56,Santa María del Oro,0,10,10
57,La Manzanilla de la Paz,0,9,9
58,Mascota,1,5,6
59,Mazamitla,1,43,44
60,Mexticacán,0,3,3
61,Mezquitic,2,3,5
62,Mixtlán,1,8,9
63,Ocotlán,5,78,83
64,Ojuelos de Jalisco,9,34,43
65,Pihuamo,3,19,22
66,Poncitlán,2,41,43
67,Puerto Vallarta,26,388,414
68,Villa Purificación,3,15,18
69,Quitupan,1,17,18
70,El Salto,66,378,444
71,San Cristóbal de la Barranca,0,3,3
72,San Diego de Alejandría,2,6,8
73,San Juan de los Lagos,8,123,131
74,San Julián,3,23,26
75,San Marcos,0,2,2
76,San Martín de Bolaños,1,17,18
77,San Martín Hidalgo,1,15,16
78,San Miguel el Alto,3,97,100
79,Gómez Farías,1,7,8
80,San Sebastián del Oeste,2,13,15
81,Santa María de los Ángeles,0,4,4
82,Sayula,8,43,51
83,Tala,17,244,261
84,Talpa de Allende,0,20,20
85,Tamazula de Gordiano,4,31,35
86,Tapalpa,1,25,26
87,Tecalitlán,5,23,28
88,Tecolotlán,3,28,31
89,Techaluta de Montenegro,3,4,7
90,Tenamaxtlán,2,6,8
91,Teocaltiche,9,37,46
92,Teocuitatlán de Corona,0,2,2
93,Tepatitlán de Morelos,14,219,233
94,Tequila,3,54,57
95,Teuchitlán,0,11,11
96,Tizapán el Alto,2,16,18
97,Tlajomulco de Zúñiga,174,1075,1249
98,San Pedro Tlaquepaque,108,877,985
99,Tolimán,0,7,7
100,Tomatlán,3,75,78
101,Tonalá,57,456,513
102,Tonaya,0,5,5
103,Tonila,2,18,20
104,Totatiche,1,3,4
105,Tototlán,0,7,7
106,Tuxcacuesco,0,23,23
107,Tuxcueca,0,7,7
108,Tuxpan,3,27,30
109,Unión de San Antonio,1,15,16
110,Unión de Tula,3,22,25
111,Valle de Guadalupe,0,6,6
112,Valle de Juárez,1,16,17
113,San Gabriel,4,48,52
114,Villa Corona,6,17,23
115,Villa Guerrero,0,9,9
116,Villa Hidalgo,0,5,5
117,Cañadas de Obregón,0,3,3
118,Yahualica de González Gallo,3,29,32
119,Zacoalco de Torres,0,17,17
120,Zapopan,210,1836,2046
121,Zapotiltic,6,23,29
122,Zapotitlán de Vadillo,0,11,11
123,Zapotlán del Rey,0,4,4
124,Zapotlanejo,3,42,45
125,San Ignacio Cerro Gordo,0,23,23
,Sin dato,4,24,28
